#Word Types: 14665		
#Word Tokens: 542836		
#Search Hits: 0		
Rank	Type	Freq
1	a	22165
2	do	15843
3	que	13841
4	da	13668
5	o	13657
6	e	10273
7	em	8591
8	se	6231
9	não	5835
10	no	5688
11	por	4341
12	ao	4208
13	para	3951
14	na	3421
15	com	3406
16	de	3297
17	os	3270
18	dos	3065
19	autora	2764
20	à	2736
21	pela	2735
22	lei	2455
23	é	2449
24	as	2385
25	art	2376
26	nos	2275
27	danos	2159
28	como	2133
29	parte	2069
29	pelo	2069
31	ser	2060
32	ré	2047
33	r	1997
34	sentença	1912
35	autor	1891
36	ou	1837
37	valor	1768
38	nº	1690
39	caso	1687
40	dano	1620
41	sem	1517
42	morais	1486
43	recurso	1470
44	autos	1438
45	pedido	1427
46	direito	1422
47	cível	1405
48	forma	1338
49	foi	1305
50	indenização	1299
51	consumidor	1296
52	das	1275
53	termos	1273
54	artigo	1268
55	serviço	1254
56	pagamento	1217
57	decisão	1195
58	ação	1172
59	sua	1144
60	aos	1136
61	moral	1124
62	seu	1110
63	requerida	1092
64	prova	1081
65	º	1053
66	uma	1049
67	fls	1047
68	juiz	1006
69	assim	990
70	proposta	967
71	fl	946
72	partes	910
73	serviços	895
74	um	888
75	honorários	874
76	bem	857
77	contrato	852
78	código	850
79	tal	841
80	sendo	839
81	energia	837
82	s	827
83	custas	818
84	julgado	804
85	demandada	791
86	relação	790
87	conforme	783
88	consumo	781
89	ônus	773
90	há	766
91	plano	761
92	ainda	757
93	débito	756
94	recursais	750
95	prazo	744
96	qual	741
97	deve	740
98	turmas	738
99	crédito	676
100	pois	675
101	razão	674
102	responsabilidade	665
103	nome	660
104	tenha	653
105	reais	648
106	valores	648
107	partir	643
108	presente	620
109	saúde	613
110	elétrica	606
111	seja	603
112	civil	586
113	defesa	585
114	fato	585
115	mérito	584
116	condenação	582
117	sentido	579
118	xxxxx	575
119	turma	572
120	tendo	569
121	empresa	568
122	opino	564
123	mesmo	561
124	ter	557
125	relator	547
126	qualquer	542
127	já	541
128	recursal	538
129	cobrança	536
130	entre	532
131	juros	525
132	diante	522
133	inicial	518
134	prestação	516
135	demandante	514
136	quando	506
137	inscrição	504
138	quanto	493
139	mil	492
140	mais	489
141	xxxxxx	487
142	fornecimento	485
143	vez	484
144	mês	483
145	veículo	480
146	ocorrido	479
147	processo	479
148	data	475
149	fim	473
150	procedência	468
151	efeitos	465
152	publicação	461
153	i	460
154	são	457
155	cpc	450
156	contrário	449
157	pelos	449
158	c	445
159	trc	443
160	documentos	441
161	às	441
162	vistos	438
163	dias	436
164	sobre	436
165	após	435
166	cdc	434
167	indevida	430
168	intimação	430
169	improcedência	425
170	relatório	424
171	homologatória	422
172	ii	418
173	homologo	413
174	água	411
175	assinado	410
176	portanto	405
177	trata	401
178	desde	399
179	seus	399
180	intimadas	397
181	face	396
182	leigo	393
183	produza	388
184	formal	384
185	fatos	381
186	especial	380
187	terá	379
188	também	378
189	m	377
190	consideram	376
191	vista	375
192	xxxxxxx	374
193	quantum	372
194	inominado	370
195	fatura	369
196	pedidos	367
197	situação	367
198	nesse	366
199	feito	365
200	materiais	365
201	exposto	362
202	n	361
203	sido	361
204	ausência	359
205	réu	357
206	título	356
207	rs	354
208	xxxxxxxx	353
209	inexistência	352
210	cobertura	351
211	cancelamento	349
212	contratual	349
213	dia	346
214	preliminar	344
215	dever	343
216	mas	342
217	acordo	340
218	houve	333
219	inciso	327
220	juizado	327
221	inversão	325
222	tem	325
223	neste	324
224	condenar	322
225	yyyyyyy	321
226	passo	319
227	autores	317
228	pode	317
229	contar	316
230	foram	316
231	igp	316
232	este	313
233	lhe	312
234	até	311
235	causa	311
236	entendo	311
237	está	311
238	faturas	310
239	justiça	307
240	sob	307
241	culpa	306
242	dispensado	306
243	reparação	305
244	apenas	304
245	demanda	304
246	conta	303
247	in	303
248	porque	300
249	ocorrência	299
250	restou	299
251	fulano	297
252	citação	296
253	alega	295
254	desta	295
255	concreto	293
256	tribunal	293
257	isso	292
258	nas	292
259	comprovação	291
260	indenizatório	291
261	órgãos	291
262	obrigação	290
263	existência	288
264	período	286
265	xxxxxxxxx	284
266	além	282
267	parecer	282
268	disposto	281
269	linha	281
270	multa	279
271	pelas	279
272	yyyyyy	278
273	audiência	277
274	mantida	276
275	proteção	276
276	apelação	273
277	parcial	273
278	advocatícios	271
279	deste	270
280	análise	269
281	contestação	268
282	juíza	267
283	deverá	266
284	suspensão	266
285	tenho	264
286	conduta	262
287	falta	261
288	considerando	260
289	quantia	259
290	casos	256
291	negativa	256
292	pessoa	256
293	público	256
294	stj	256
295	resolução	255
296	somente	253
297	falha	250
298	imóvel	250
299	referente	248
300	fazer	247
301	súmula	247
302	comprovar	246
303	contratação	244
304	merece	244
305	modo	244
306	dívida	243
307	procedimento	242
308	esta	240
309	legais	239
310	entendimento	237
311	havendo	236
312	mesma	234
313	devendo	233
314	porto	233
315	consumidora	232
316	inclusive	232
317	alegação	229
318	alegações	229
319	ocorreu	229
320	re	229
321	banco	228
322	junto	228
323	ante	226
324	contra	225
325	probatório	225
326	fins	224
327	documento	223
328	indenizar	221
329	presidente	221
330	requerente	220
331	prejuízo	219
332	etc	218
333	ipsa	217
334	trânsito	217
335	tutela	217
336	via	217
337	ilegitimidade	215
338	alegre	214
339	outro	213
340	ato	212
341	parcialmente	211
342	estava	210
343	concessionária	209
344	apreciação	208
345	material	208
346	ilícito	207
347	dois	206
348	essencial	206
349	ademais	205
350	referido	204
351	residência	203
352	medida	202
353	necessidade	202
354	registre	202
355	segunda	202
356	cartão	201
357	objetiva	201
358	xxxx	201
359	aplicação	200
360	débitos	200
361	requerido	199
362	acidente	198
363	sul	198
364	homologação	197
365	restituição	197
366	realizado	195
367	teve	195
368	posto	194
369	cíveis	193
370	fulana	192
371	liminar	192
372	declaração	191
373	intimem	191
374	só	191
375	dessa	190
376	eis	190
377	era	190
378	instrução	190
379	juízo	190
380	requereu	190
381	mora	189
382	provas	188
383	tais	188
384	direitos	187
385	jurídica	187
386	momento	187
387	publique	187
388	especiais	186
389	fixado	186
390	primeira	186
391	base	184
392	demandado	184
393	todos	184
394	refere	183
395	correção	182
396	personalidade	182
397	consoante	181
398	fundamentos	181
399	corsan	180
400	juizados	179
401	fornecedor	178
402	embora	177
403	julgamento	177
404	meses	177
405	corte	176
406	desprovido	176
407	devidamente	176
408	provido	176
409	descumprimento	175
410	suas	175
411	anos	174
412	pagar	174
413	telefonia	174
414	exclusão	173
415	superior	173
416	corrigido	172
417	monetariamente	172
418	condições	171
419	passiva	171
420	vencimento	171
421	indenizatória	170
422	dobro	169
423	pretensão	169
424	princípios	169
425	assistência	166
426	grau	166
427	realização	166
428	sistema	166
429	quais	165
430	caráter	164
431	dispõe	164
432	tratamento	164
433	disso	163
434	pena	163
435	possível	162
436	contudo	161
437	devem	161
438	monetária	161
439	resta	161
440	centavos	160
441	fé	160
442	alegou	159
443	contratos	159
444	acrescido	158
445	judicial	158
446	legal	158
447	unidade	158
448	acerca	157
449	cláusula	157
450	origem	157
451	questão	157
452	razoabilidade	157
453	teor	157
454	demora	156
455	má	156
456	porém	156
457	realizada	156
458	viii	156
459	apresentou	155
460	comprovado	155
461	efeito	155
462	outubro	155
463	possui	155
464	requer	155
465	total	155
466	interrupção	154
467	jurisprudência	154
468	março	154
469	onde	154
470	restabelecimento	153
471	setembro	153
472	artigos	152
473	câmara	152
474	devolução	152
475	maio	152
476	novo	152
477	prejuízos	152
478	princípio	151
479	verifica	151
480	consideração	150
481	proporcionalidade	150
482	fundamentação	149
483	suficiente	149
484	cumprimento	148
485	três	148
486	utilização	147
487	atendimento	146
488	cadastro	146
489	caput	146
490	dispositivo	146
491	evento	146
492	incidência	146
493	junho	146
494	mero	146
495	atividade	145
496	condição	145
497	contratado	145
498	quarta	145
499	ressarcimento	145
500	execução	144
501	logo	144
502	devida	143
503	ementa	143
504	mostra	143
505	configurado	142
506	objeto	142
507	segundo	142
508	tratando	142
509	através	141
510	cinco	141
511	devido	141
512	força	141
513	repetição	141
514	tempo	141
515	decorrentes	140
516	final	140
517	nexo	140
518	próprios	140
519	regime	140
520	simples	140
521	cabe	139
522	inadimplentes	139
523	indevidamente	139
524	montante	139
525	natureza	139
526	si	139
527	breve	138
528	cada	138
529	decorrente	138
530	exame	138
531	teria	138
532	b	137
533	cadastros	137
534	hipótese	137
535	janeiro	137
536	manutenção	137
537	compra	136
538	primeiro	136
539	cobranças	135
540	desincumbiu	135
541	federal	135
542	grande	135
543	iii	135
544	juntou	135
545	nem	135
546	comprovada	134
547	demonstrar	134
548	efetivamente	134
549	meio	134
550	pago	133
551	processual	133
552	quatro	133
553	realizar	133
554	vítima	133
555	causados	132
556	formulado	132
557	local	132
558	procedente	132
559	terceira	132
560	enriquecimento	131
561	pagos	131
562	antes	130
563	desconstituição	130
564	despesas	130
565	ltda	130
566	ora	130
567	próprio	130
568	respeito	130
569	tratar	130
570	abril	129
571	afirma	129
572	firmado	129
573	julho	129
574	mm	129
575	sofrido	129
576	produto	128
577	agosto	127
578	parâmetros	127
579	reajuste	127
580	seguro	127
581	eventual	126
582	único	126
583	mantido	125
584	outra	125
585	tela	125
586	fixação	124
587	ano	123
588	interesse	123
589	referida	123
590	restrição	123
591	telefônica	123
592	conciliação	122
593	indébito	122
594	maior	122
595	terceiro	122
596	aduz	121
597	haja	121
598	indevido	121
599	lado	121
600	acima	120
601	processuais	120
602	tange	120
603	cobrado	119
604	dezembro	119
605	pública	119
606	consumidores	118
